,cluster
1624,4
1625,2
1626,6
1627,2
1628,12
1629,6
1630,2
1631,10
1632,6
1633,4
1634,6
1635,4
1636,6
1637,8
1638,3
1639,6
1640,9
1641,2
1642,4
1643,4
1644,4
1645,0
1646,3
1647,8
1648,13
1649,0
1650,12
1651,13
1652,4
1653,7
1654,0
1655,11
1656,4
1657,6
1658,11
1659,4
1660,11
1661,13
1662,2
1663,4
1664,12
1665,7
1666,7
1667,9
1668,13
1669,2
1670,4
1671,4
1672,4
1673,4
1674,3
1675,13
1676,0
1677,2
1678,6
1679,12
1680,11
1681,6
1682,7
1683,7
1684,3
1685,4
1686,2
1687,4
1688,9
1689,2
1690,7
1691,8
1692,2
1693,13
1694,0
1695,3
1696,7
1697,9
1698,8
1699,7
1700,2
1701,5
1702,13
1703,8
1704,0
1705,6
1706,4
1707,8
1708,13
1709,5
1710,10
1711,10
1712,9
1713,7
1714,1
1715,4
1716,6
1717,10
1718,0
1719,0
1720,13
1721,6
1722,0
1723,13
1724,0
1725,1
1726,7
1727,2
1728,0
1729,6
1730,4
1731,6
1732,13
1733,9
1734,5
1735,0
1736,0
1737,5
1738,13
1739,4
1740,1
1741,1
1742,2
1743,8
1744,8
1745,11
1746,0
1747,8
1748,7
1749,2
1750,2
1751,1
1752,11
1753,12
1754,11
1755,7
1756,6
1757,0
1758,13
1759,4
1760,4
1761,2
1762,7
1763,12
1764,0
1765,4
1766,8
1767,3
1768,12
1769,13
1770,6
1771,8
1772,2
1773,8
1774,0
1775,5
1776,5
1777,4
1778,6
1779,0
1780,8
1781,9
1782,6
1783,8
1784,6
1785,2
1786,2
1787,13
1788,2
1789,7
1790,2
1791,2
1792,2
1793,0
1794,3
1795,7
1796,13
1797,13
1798,7
1799,2
1800,0
1801,2
1802,12
1803,0
1804,0
1805,6
1806,7
1807,7
1808,12
1809,9
1810,6
1811,4
1812,3
1813,8
1814,5
1815,6
1816,8
1817,6
1818,13
1819,4
1820,5
1821,8
1822,10
1823,4
1824,5
1825,4
1826,13
1827,4
1828,4
1829,6
1830,4
1831,4
1832,2
1833,4
1834,2
1835,13
1836,7
1837,5
1838,2
1839,4
1840,4
1841,12
1842,6
1843,7
1844,12
1845,2
1846,0
1847,7
1848,7
1849,8
1850,6
1851,8
1852,1
1853,6
1854,8
1855,5
1856,7
1857,5
1858,5
1859,8
1860,9
1861,5
1862,6
1863,8
1864,4
1865,2
1866,4
1867,4
1868,9
1869,8
1870,0
1871,4
1872,4
1873,2
1874,4
1875,7
1876,4
1877,10
1878,0
1879,4
1880,11
1881,9
1882,0
1883,13
1884,6
1885,9
1886,3
1887,4
1888,2
1889,4
1890,8
1891,5
1892,1
1893,7
1894,7
1895,0
1896,6
1897,6
1898,2
1899,13
1900,2
1901,0
1902,0
1903,11
1904,2
1905,2
1906,0
1907,7
1908,2
1909,1
1910,2
1911,2
1912,7
1913,9
1914,0
1915,6
1916,2
1917,5
1918,6
1919,11
1920,4
1921,9
1922,9
1923,8
1924,6
1925,0
1926,0
1927,8
1928,2
1929,2
1930,8
1931,3
1932,8
1933,13
1934,7
1935,7
1936,5
1937,7
1938,7
1939,5
1940,13
1941,0
1942,7
1943,8
1944,3
1945,6
1946,0
1947,7
1948,0
1949,7
1950,9
1951,4
1952,7
1953,4
1954,8
1955,5
1956,5
1957,7
1958,6
1959,6
1960,9
1961,5
1962,13
1963,4
1964,2
1965,6
1966,4
1967,13
1968,7
1969,5
1970,8
1971,4
1972,9
1973,4
1974,6
1975,4
1976,5
1977,4
1978,5
1979,5
1980,2
1981,13
1982,8
1983,4
1984,4
1985,13
1986,6
1987,2
1988,13
1989,3
1990,1
1991,2
1992,5
1993,5
1994,12
1995,4
1996,5
1997,0
1998,7
1999,4
2000,4
2001,5
2002,8
2003,4
2004,0
2005,7
2006,6
2007,1
2008,2
2009,5
2010,0
2011,2
2012,6
2013,4
2014,13
2015,10
2016,4
2017,4
2018,8
2019,7
2020,3
2021,4
2022,4
2023,3
2024,2
2025,0
2026,5
2027,0
2028,3
2029,13
2030,4
2031,6
2032,0
2033,0
2034,5
2035,4
2036,4
2037,6
2038,6
2039,4
2040,6
2041,11
2042,2
2043,5
2044,10
2045,2
2046,6
2047,4
2048,4
2049,9
2050,7
2051,6
2052,3
2053,0
2054,2
2055,12
2056,4
2057,0
2058,0
2059,2
2060,6
2061,8
2062,2
2063,7
2064,2
2065,4
2066,7
2067,12
2068,4
2069,2
2070,4
2071,6
2072,7
2073,11
2074,6
2075,6
2076,5
2077,5
2078,4
2079,2
2080,0
2081,4
2082,12
2083,4
2084,12
2085,4
2086,12
2087,8
2088,1
2089,13
2090,1
2091,0
2092,2
2093,2
2094,5
2095,0
2096,4
2097,6
2098,10
2099,0
2100,7
2101,7
2102,2
2103,4
2104,4
2105,10
2106,0
2107,0
2108,0
2109,6
2110,11
2111,7
2112,5
2113,0
2114,3
2115,12
2116,9
2117,7
2118,12
2119,4
2120,13
2121,5
2122,13
2123,7
2124,8
2125,6
2126,9
2127,7
2128,4
2129,4
2130,4
2131,0
2132,5
2133,0
2134,4
2135,0
2136,7
2137,8
2138,2
2139,13
2140,4
2141,4
2142,6
2143,13
2144,0
2145,9
2146,8
2147,3
2148,6
2149,4
2150,7
2151,13
2152,2
2153,0
2154,4
2155,4
2156,7
2157,6
2158,4
2159,2
2160,13
2161,2
2162,10
2163,6
2164,11
2165,13
2166,4
2167,4
2168,4
2169,0
2170,4
2171,11
2172,13
2173,0
2174,7
2175,4
2176,2
2177,2
2178,8
2179,8
2180,2
2181,5
2182,3
2183,4
2184,6
2185,1
2186,5
2187,10
2188,1
2189,9
2190,7
2191,0
2192,0
2193,6
2194,12
2195,13
2196,6
2197,4
2198,9
2199,12
2200,8
2201,6
2202,6
2203,8
2204,8
